group,type,label,n,k,wr,ci_lower,ci_upper,p_value,clears_floor
all,aggregate,ALL,207,143,0.690821,0.624866,0.749823,9.7796e-6,TRUE
otc,aggregate,OTC,31,17,0.548387,0.377722,0.708383,5.3668e-1,FALSE
nonotc,aggregate,non-OTC,176,126,0.715909,0.645225,0.777370,2.1780e-6,TRUE
otc,session,Asian,10,4,0.400000,0.168180,0.687326,8.8663e-1,FALSE
nonotc,session,Asian,0,0,,,,,FALSE
otc,session,European,4,2,0.500000,0.150039,0.849961,7.4671e-1,FALSE
nonotc,session,European,68,44,0.647059,0.528411,0.749980,5.0343e-2,FALSE
otc,session,American,15,9,0.600000,0.357468,0.801755,4.1943e-1,FALSE
nonotc,session,American,78,57,0.730769,0.623231,0.816644,5.6046e-4,TRUE
otc,session,Off-hours,2,2,1.000000,0.342380,1.000000,2.7609e-1,FALSE
nonotc,session,Off-hours,30,25,0.833333,0.664356,0.926635,1.2018e-3,TRUE
otc,asset,BHDCNY_otc,5,3,0.600000,0.230724,0.882379,5.7210e-1,FALSE
otc,asset,USDCAD_otc,4,1,0.250000,0.045587,0.699358,9.5229e-1,FALSE
otc,asset,USDINR_otc,4,3,0.750000,0.300642,0.954413,3.6726e-1,FALSE
otc,asset,EURTRY_otc,3,0,0.000000,0.000000,0.561497,9.9301e-1,FALSE
otc,asset,USDRUB_otc,3,2,0.666667,0.207660,0.938508,5.5597e-1,FALSE
otc,asset,USDVND_otc,3,2,0.666667,0.207660,0.938508,5.5597e-1,FALSE
otc,asset,USDARS_otc,2,2,1.000000,0.342380,1.000000,2.7609e-1,FALSE
otc,asset,USDMYR_otc,2,2,1.000000,0.342380,1.000000,2.7609e-1,FALSE
otc,asset,EURJPY_otc,1,0,0.000000,0.000000,0.793451,9.8159e-1,FALSE
otc,asset,EURUSD_otc,1,1,1.000000,0.206549,1.000000,5.3239e-1,FALSE
otc,asset,GBPJPY_otc,1,1,1.000000,0.206549,1.000000,5.3239e-1,FALSE
otc,asset,USDIDR_otc,1,0,0.000000,0.000000,0.793451,9.8159e-1,FALSE
otc,asset,USDJPY_otc,1,0,0.000000,0.000000,0.793451,9.8159e-1,FALSE
nonotc,asset,CADCHF,18,12,0.666667,0.437495,0.837212,2.0112e-1,FALSE
nonotc,asset,AUDUSD,12,10,0.833333,0.551969,0.953035,4.0417e-2,TRUE
nonotc,asset,EURAUD,11,9,0.818182,0.523019,0.948632,6.1113e-2,FALSE
nonotc,asset,EURUSD,11,9,0.818182,0.523019,0.948632,6.1113e-2,FALSE
nonotc,asset,GBPAUD,11,6,0.545455,0.280092,0.787287,6.0624e-1,FALSE
nonotc,asset,GBPCHF,11,8,0.727273,0.434355,0.902539,1.7348e-1,FALSE
nonotc,asset,GBPUSD,11,7,0.636364,0.353801,0.848335,3.6863e-1,FALSE
nonotc,asset,USDCHF,11,7,0.636364,0.353801,0.848335,3.6863e-1,FALSE
nonotc,asset,AUDCAD,10,7,0.700000,0.396778,0.892209,2.4358e-1,FALSE
nonotc,asset,CHFJPY,10,10,1.000000,0.722467,1.000000,4.6824e-3,TRUE
nonotc,asset,AUDJPY,9,7,0.777778,0.452589,0.936775,1.3699e-1,FALSE
nonotc,asset,CADJPY,9,7,0.777778,0.452589,0.936775,1.3699e-1,FALSE
nonotc,asset,EURCHF,8,4,0.500000,0.215216,0.784784,7.2058e-1,FALSE
nonotc,asset,GBPCAD,6,5,0.833333,0.436497,0.969947,1.5157e-1,FALSE
nonotc,asset,EURCAD,5,3,0.600000,0.230724,0.882379,5.7210e-1,FALSE
nonotc,asset,EURGBP,5,3,0.600000,0.230724,0.882379,5.7210e-1,FALSE
nonotc,asset,EURJPY,5,4,0.800000,0.375535,0.963776,2.3710e-1,FALSE
nonotc,asset,GBPJPY,4,4,1.000000,0.510109,1.000000,8.9731e-2,FALSE
nonotc,asset,AUDCHF,3,2,0.666667,0.207660,0.938508,5.5597e-1,FALSE
nonotc,asset,USDCAD,3,1,0.333333,0.061492,0.792340,9.0307e-1,FALSE
nonotc,asset,USDJPY,3,1,0.333333,0.061492,0.792340,9.0307e-1,FALSE
