gate,direction,expiry,n_decisive,wins,losses,flats,flat_pct,wr,ci_lower,ci_upper,p_value,bh_adj_p,bh_passed,pass,flags
rsi_oversold,CALL,10,591,353,238,40,0.063391,0.597293,0.557246,0.636083,0.003175,0.462705,false,false,"bh_failed"
di_oversold_bounce,CALL,15,615,362,253,7,0.011254,0.588618,0.549293,0.626843,0.009287,,false,true,"prereg_single_test"
rsi_oversold,CALL,5,586,345,241,45,0.071315,0.588737,0.548444,0.627874,0.010677,0.462705,false,false,"bh_failed"
di_oversold_bounce,CALL,20,617,362,255,5,0.008039,0.586710,0.547435,0.624912,0.011823,0.462705,false,false,"bh_failed"
rsi_oversold,CALL,15,596,350,246,35,0.055468,0.587248,0.547286,0.626093,0.012257,0.462705,false,false,"bh_failed"
di_oversold_bounce,CALL,10,618,360,258,4,0.006431,0.582524,0.543251,0.620778,0.019894,0.569300,false,false,"bh_failed"
rsi_oversold,CALL,20,596,347,249,35,0.055468,0.582215,0.542216,0.621161,0.022621,0.569300,false,false,"bh_failed"
williams_os,CALL,15,2513,1383,1130,71,0.027477,0.550338,0.530826,0.569697,0.166119,1.000000,false,false,"below_floor;bh_failed"
williams_os,CALL,20,2528,1391,1137,56,0.021672,0.550237,0.530783,0.569539,0.167913,1.000000,false,false,"below_floor;bh_failed"
cci_oversold,CALL,5,2391,1310,1081,97,0.038987,0.547888,0.527877,0.567745,0.240601,1.000000,false,false,"below_floor;bh_failed"
cci_oversold,CALL,10,2444,1338,1106,44,0.017685,0.547463,0.527670,0.567107,0.251285,1.000000,false,false,"below_floor;bh_failed"
di_oversold_bounce,CALL,5,602,341,261,20,0.032154,0.566445,0.526560,0.605488,0.108142,1.000000,false,false,"below_floor;bh_failed"
williams_ob,PUT,5,3002,1628,1374,102,0.032861,0.542305,0.524440,0.560062,0.428518,1.000000,false,false,"below_floor;bh_failed"
rsi_below_50,CALL,15,5098,2741,2357,597,0.104829,0.537662,0.523952,0.551315,0.663006,1.000000,false,false,"below_floor;bh_failed"
cci_oversold,CALL,15,2451,1332,1119,37,0.014871,0.543452,0.523679,0.563088,0.392443,1.000000,false,false,"below_floor;bh_failed"
williams_os,CALL,5,2492,1351,1141,92,0.035604,0.542135,0.522523,0.561617,0.442884,1.000000,false,false,"below_floor;bh_failed"
cci_oversold,CALL,20,2461,1334,1127,27,0.010852,0.542056,0.522321,0.561660,0.446435,1.000000,false,false,"below_floor;bh_failed"
stc_deep_floor,CALL,15,3385,1821,1564,707,0.172776,0.537962,0.521133,0.554705,0.623084,1.000000,false,false,"high_flat;below_floor;bh_failed"
williams_os,CALL,10,2501,1352,1149,83,0.032121,0.540584,0.521005,0.560038,0.504650,1.000000,false,false,"below_floor;bh_failed"
rsi_overbought,PUT,10,458,259,199,1128,0.711223,0.565502,0.519746,0.610169,0.152260,1.000000,false,false,"high_flat;below_floor;bh_failed"
ML_LL_WILLIAMS_CALL,CALL,5,1707,927,780,62,0.035048,0.543058,0.519356,0.566567,0.425523,1.000000,false,false,"below_floor;bh_failed"
stc_deep_floor,CALL,20,3390,1811,1579,702,0.171554,0.534218,0.517397,0.550962,0.773714,1.000000,false,false,"high_flat;below_floor;bh_failed"
stc_floor,CALL,10,4111,2189,1922,750,0.154289,0.532474,0.517198,0.547689,0.852742,1.000000,false,false,"high_flat;below_floor;bh_failed"
rsi_below_50,CALL,20,5102,2708,2394,593,0.104126,0.530772,0.517060,0.544438,0.920479,1.000000,false,false,"below_floor;bh_failed"
stc_floor,CALL,20,4142,2202,1940,719,0.147912,0.531627,0.516408,0.546788,0.877266,1.000000,false,false,"below_floor;bh_failed"
stc_deep_floor,CALL,10,3351,1787,1564,741,0.181085,0.533274,0.516353,0.550118,0.804202,1.000000,false,false,"high_flat;below_floor;bh_failed"
rsi_below_50,CALL,10,5064,2678,2386,631,0.110799,0.528831,0.515066,0.542552,0.953556,1.000000,false,false,"below_floor;bh_failed"
stc_floor,CALL,5,4071,2150,1921,790,0.162518,0.528126,0.512771,0.543427,0.945200,1.000000,false,false,"high_flat;below_floor;bh_failed"
rsi_overbought,PUT,20,468,261,207,1118,0.704918,0.557692,0.512406,0.602039,0.241986,1.000000,false,false,"high_flat;below_floor;bh_failed"
rsi_below_50,CALL,5,5008,2633,2375,687,0.120632,0.525759,0.511914,0.539564,0.982461,1.000000,false,false,"below_floor;bh_failed"
ML_LL_WILLIAMS_CALL,CALL,15,1732,926,806,37,0.020916,0.534642,0.511100,0.558031,0.696130,1.000000,false,false,"below_floor;bh_failed"
ML_LL_WILLIAMS_CALL,CALL,20,1734,927,807,35,0.019785,0.534602,0.511074,0.557978,0.697390,1.000000,false,false,"below_floor;bh_failed"
rsi_overbought,PUT,15,464,258,206,1122,0.707440,0.556034,0.510549,0.600599,0.266026,1.000000,false,false,"high_flat;below_floor;bh_failed"
stc_deep_floor,CALL,5,3339,1756,1583,753,0.184018,0.525906,0.508949,0.542803,0.956324,1.000000,false,false,"high_flat;below_floor;bh_failed"
williams_ob,PUT,10,3026,1592,1434,78,0.025129,0.526107,0.508294,0.543854,0.945967,1.000000,false,false,"below_floor;bh_failed"
stc_floor,CALL,15,4118,2156,1962,743,0.152849,0.523555,0.508286,0.538781,0.986010,1.000000,false,false,"high_flat;below_floor;bh_failed"
ML_LL_WILLIAMS_CALL,CALL,10,1729,915,814,40,0.022612,0.529208,0.505641,0.552645,0.833059,1.000000,false,false,"below_floor;bh_failed"
williams_ob,PUT,15,3044,1590,1454,60,0.019330,0.522339,0.504577,0.540044,0.978759,1.000000,false,false,"below_floor;bh_failed"
cci_overbought,PUT,20,2414,1266,1148,34,0.013889,0.524441,0.504495,0.544308,0.945608,1.000000,false,false,"below_floor;bh_failed"
stc_rising,CALL,20,5248,2715,2533,264,0.047896,0.517340,0.503812,0.530842,0.999638,1.000000,false,false,"below_floor;bh_failed"
stoch_ob_cross,PUT,5,764,410,354,23,0.029225,0.536649,0.501194,0.571738,0.598658,1.000000,false,false,"below_floor;bh_failed"
cci_overbought,PUT,5,2387,1244,1143,61,0.024918,0.521156,0.501098,0.541147,0.972376,1.000000,false,false,"below_floor;bh_failed"
rsi_above_50,PUT,15,5501,2826,2675,2084,0.274753,0.513725,0.500512,0.526919,0.999968,1.000000,false,false,"high_flat;below_floor;bh_failed"
