gate,direction,expiry,asset,train_n,train_k,train_wr,test_n,test_k,test_wr
di_oversold_bounce,CALL,15m,CADCHF,14,10,0.714286,4,2,0.500000
di_oversold_bounce,CALL,15m,AUDUSD,10,9,0.900000,2,1,0.500000
di_oversold_bounce,CALL,15m,EURAUD,11,9,0.818182,0,0,
di_oversold_bounce,CALL,15m,EURUSD,10,8,0.800000,1,1,1.000000
di_oversold_bounce,CALL,15m,GBPAUD,11,6,0.545455,0,0,
di_oversold_bounce,CALL,15m,GBPCHF,8,6,0.750000,3,2,0.666667
di_oversold_bounce,CALL,15m,GBPUSD,6,5,0.833333,5,2,0.400000
di_oversold_bounce,CALL,15m,USDCHF,5,4,0.800000,6,3,0.500000
di_oversold_bounce,CALL,15m,AUDCAD,9,6,0.666667,1,1,1.000000
di_oversold_bounce,CALL,15m,CHFJPY,9,9,1.000000,1,1,1.000000
di_oversold_bounce,CALL,15m,AUDJPY,8,6,0.750000,1,1,1.000000
di_oversold_bounce,CALL,15m,CADJPY,5,4,0.800000,4,3,0.750000
di_oversold_bounce,CALL,15m,EURCHF,7,3,0.428571,1,1,1.000000
di_oversold_bounce,CALL,15m,GBPCAD,6,5,0.833333,0,0,
di_oversold_bounce,CALL,15m,BHDCNY_otc,5,3,0.600000,0,0,
di_oversold_bounce,CALL,15m,EURCAD,5,3,0.600000,0,0,
di_oversold_bounce,CALL,15m,EURGBP,4,2,0.500000,1,1,1.000000
di_oversold_bounce,CALL,15m,EURJPY,5,4,0.800000,0,0,
di_oversold_bounce,CALL,15m,GBPJPY,3,3,1.000000,1,1,1.000000
di_oversold_bounce,CALL,15m,USDCAD_otc,4,1,0.250000,0,0,
di_oversold_bounce,CALL,15m,USDINR_otc,4,3,0.750000,0,0,
di_oversold_bounce,CALL,15m,AUDCHF,3,2,0.666667,0,0,
di_oversold_bounce,CALL,15m,EURTRY_otc,3,0,0.000000,0,0,
di_oversold_bounce,CALL,15m,USDCAD,3,1,0.333333,0,0,
di_oversold_bounce,CALL,15m,USDJPY,3,1,0.333333,0,0,
di_oversold_bounce,CALL,15m,USDRUB_otc,2,1,0.500000,1,1,1.000000
di_oversold_bounce,CALL,15m,USDVND_otc,3,2,0.666667,0,0,
di_oversold_bounce,CALL,15m,USDARS_otc,2,2,1.000000,0,0,
di_oversold_bounce,CALL,15m,USDMYR_otc,2,2,1.000000,0,0,
di_oversold_bounce,CALL,15m,EURJPY_otc,1,0,0.000000,0,0,
di_oversold_bounce,CALL,15m,EURUSD_otc,0,0,,1,1,1.000000
di_oversold_bounce,CALL,15m,GBPJPY_otc,1,1,1.000000,0,0,
di_oversold_bounce,CALL,15m,USDIDR_otc,1,0,0.000000,0,0,
di_oversold_bounce,CALL,15m,USDJPY_otc,1,0,0.000000,0,0,
