dimension,value,n,wins,losses,flats,flat_pct,wr,ci_lower,ci_upper,p,bh_adj_p,bh_passed,tradable
asset,AUDCAD,91,50,41,1,0.0109,0.5495,0.4473,0.6476,4.7363e-1,6.0948e-1,false,false
asset,AUDCHF,70,36,34,1,0.0141,0.5143,0.3995,0.6275,7.1226e-1,7.4618e-1,false,false
asset,AUDJPY,88,47,41,2,0.0222,0.5341,0.4306,0.6347,5.9002e-1,6.4902e-1,false,false
asset,CADCHF,69,42,27,3,0.0417,0.6087,0.4907,0.7152,1.5484e-1,2.8387e-1,false,false
asset,CADJPY,39,25,14,1,0.0250,0.6410,0.4842,0.7726,1.3587e-1,2.7175e-1,false,false
asset,CHFJPY,69,46,23,1,0.0143,0.6667,0.5493,0.7665,2.3730e-2,1.3052e-1,false,true
asset,EURAUD,67,36,31,3,0.0429,0.5373,0.4192,0.6514,5.6943e-1,6.4902e-1,false,false
asset,EURCHF,29,17,12,0,0.0000,0.5862,0.4074,0.7449,3.7920e-1,6.0948e-1,false,false
asset,EURJPY,32,24,8,0,0.0000,0.7500,0.5789,0.8675,1.3879e-2,1.0178e-1,false,true
asset,EURUSD,46,26,20,1,0.0213,0.5652,0.4225,0.6979,4.2526e-1,6.0948e-1,false,false
asset,USDCAD,26,18,8,1,0.0370,0.6923,0.5001,0.8350,8.7473e-2,2.7175e-1,false,false
asset,USDCHF,50,28,22,0,0.0000,0.5600,0.4231,0.6884,4.4639e-1,6.0948e-1,false,false
asset,USDJPY,25,17,8,3,0.1071,0.6800,0.4841,0.8280,1.1528e-1,2.7175e-1,false,false
session,American,260,151,109,10,0.0370,0.5808,0.5200,0.6391,1.0736e-1,2.7175e-1,false,false
session,Asian,285,169,116,4,0.0138,0.5930,0.5351,0.6484,4.2860e-2,1.8858e-1,false,false
session,European,156,92,64,3,0.0189,0.5897,0.5113,0.6639,1.2428e-1,2.7175e-1,false,false
vol_regime,HIGH,435,251,184,13,0.0290,0.5770,0.5301,0.6226,6.9446e-2,2.5463e-1,false,false
vol_regime,LOW,80,54,26,1,0.0123,0.6750,0.5664,0.7676,1.0674e-2,1.0178e-1,false,true
vol_regime,MED,151,83,68,2,0.0131,0.5497,0.4701,0.6268,4.4258e-1,6.0948e-1,false,false
zone,DISCOUNT,568,337,231,17,0.0291,0.5933,0.5524,0.6329,6.5066e-3,1.0178e-1,false,true
zone,EQUILIBRIUM,123,67,56,0,0.0000,0.5447,0.4567,0.6300,4.9866e-1,6.0948e-1,false,false
zone,PREMIUM,4,2,2,0,0.0000,0.5000,0.1500,0.8500,7.4671e-1,7.4671e-1,false,false
