db_source,timestamp_utc,asset,leaf_id,direction,wr_reported,n_reported,open,high,low,close,rsi_5,stoch_k_v2,stoch_d_v2,bb_upper,bb_middle,bb_lower,bb_width_bps,ma6,ma14,ma_trend_bps,close_to_lower,close_to_upper,schaff_value,stc_zone,bb_position,stc_stoch_diff,stoch_kd_diff,exit_2m,pnl_2m,win_2m
trading_data.db,2026-04-25T12:14:00.000Z,AEDCNY_otc,L65,PUT,0.637800,323,2.026300,2.026990,2.025790,2.026910,72.750000,66.156417,35.975238,2.030684,2.027207,2.023730,34.304766,2.025297,2.027081,-8.804589,15.687313,18.617453,15.651213,oversold,0.457293,-50.505204,30.181179,2.027570,-500,0
trading_data.db,2026-04-25T12:15:00.000Z,AEDCNY_otc,L65,PUT,0.637800,323,2.027080,2.027900,2.026950,2.027370,75.505618,93.031210,64.532509,2.030690,2.027213,2.023735,34.311242,2.025677,2.027108,-7.060258,17.932550,16.378692,12.047445,oversold,0.522644,-80.983765,28.498700,2.026580,460,1
trading_data.db,2026-04-25T12:23:00.000Z,AEDCNY_otc,L65,PUT,0.637800,323,2.025950,2.026750,2.025540,2.026610,57.232704,65.939007,40.092903,2.030066,2.026444,2.022821,35.747748,2.025402,2.025759,-1.761833,18.695511,17.052238,2.501839,oversold,0.522984,-63.437168,25.846104,2.026730,-500,0
trading_data.db,2026-04-25T14:29:00.000Z,AEDCNY_otc,L16,CALL,0.686000,86,2.009230,2.009350,2.007590,2.008280,0,12.357598,11.200271,2.016280,2.012439,2.008599,38.170892,2.010072,2.011791,-8.548411,-1.583498,39.754390,4.076749,oversold,-0.041484,-8.280849,1.157327,2.007170,-500,0
trading_data.db,2026-04-25T14:49:00.000Z,AEDCNY_otc,L65,PUT,0.637800,323,2.004580,2.004800,2.003340,2.004210,52.241379,74.147415,43.234323,2.009087,2.005613,2.002140,34.634520,2.003533,2.005189,-8.254775,10.319401,24.315119,2.844145,oversold,0.297951,-71.303269,30.913091,2.005890,-500,0
trading_data.db,2026-04-25T15:50:00.000Z,AEDCNY_otc,L65,PUT,0.637800,323,2.003710,2.005000,2.003710,2.004230,63.797468,78.616352,45.283019,2.008073,2.004246,2.000420,38.182607,2.002370,2.003252,-4.403554,19.008978,19.173629,0.129514,oversold,0.497844,-78.486838,33.333333,2.007410,-500,0
trading_data.db,2026-04-25T15:51:00.000Z,AEDCNY_otc,L65,PUT,0.637800,323,2.004180,2.005540,2.004180,2.005540,93.548387,100,74.633124,2.007571,2.004118,2.000665,34.460689,2.002857,2.003192,-1.674708,24.325735,10.134954,3.602400,oversold,0.705898,-96.397600,25.366876,2.008730,-500,0
trading_data.db,2026-04-25T04:58:00.000Z,AUDCAD_otc,L41,PUT,0.760000,50,0.877670,0.877680,0.876560,0.876590,0,6.446500,24.100840,0.880065,0.876992,0.873919,70.076802,0.878305,0.877576,8.302085,30.454551,39.622251,99.557094,overbought,0.434588,93.110593,-17.654340,0.877580,-500,0
trading_data.db,2026-04-25T05:14:00.000Z,AUDCAD_otc,L41,PUT,0.760000,50,0.878400,0.878520,0.877920,0.877990,12.213740,10.980392,33.582766,0.880239,0.878482,0.876725,40.005840,0.879198,0.878852,3.939121,14.402350,25.603490,94.829912,overbought,0.360006,83.849520,-22.602374,0.876950,460,1
trading_data.db,2026-04-25T06:58:00.000Z,AUDCAD_otc,L41,PUT,0.760000,50,0.875610,0.875730,0.874630,0.875450,10.619469,10.920855,28.295841,0.877718,0.875303,0.872888,55.176818,0.876420,0.875806,7.013950,29.267828,25.908991,99.985262,overbought,0.530437,89.064407,-17.374986,0.875420,460,1
trading_data.db,2026-04-25T08:37:00.000Z,AUDCAD_otc,L41,PUT,0.760000,50,0.888210,0.888210,0.887140,0.887440,14.181818,18.041095,35.266090,0.889811,0.887324,0.884837,56.063831,0.888517,0.887932,6.582978,29.339217,26.724614,48.729222,neutral,0.523318,30.688128,-17.224995,0.888980,-500,0
